1.000	1.000	1.000	0.000	0.000	3.000	2.000	3606.382
2.000	1.000	2.000	0.000	1.000	3.000	0.000	2563.632
3.000	1.000	3.000	0.000	0.000	1.000	2.000	4679.695
4.000	1.000	4.000	0.000	1.000	1.000	0.000	2937.233
5.000	1.000	5.000	0.000	1.000	3.000	0.000	3667.701
6.000	1.000	6.000	0.000	0.000	1.000	2.000	3924.719
7.000	1.000	7.000	0.000	1.000	3.000	0.000	4261.041
8.000	1.000	8.000	0.000	0.000	3.000	2.000	2499.763
9.000	1.000	9.000	0.000	1.000	1.000	0.000	3880.066
10.000	1.000	10.000	0.000	1.000	3.000	0.000	4008.276
11.000	1.000	11.000	0.000	1.000	1.000	0.000	4429.280
12.000	1.000	12.000	0.000	0.000	1.000	2.000	4318.055
13.000	1.000	13.000	0.000	1.000	1.000	0.000	3302.999
14.000	1.000	14.000	0.000	1.000	3.000	0.000	2715.727
15.000	1.000	15.000	0.000	1.000	3.000	0.000	3566.885
16.000	1.000	16.000	0.000	1.000	3.000	0.000	4121.933
17.000	1.000	17.000	0.000	1.000	1.000	0.000	2477.142
18.000	1.000	18.000	0.000	1.000	3.000	0.000	3623.182
19.000	2.000	1.000	2.000	0.000	1.000	0.000	3115.531
20.000	2.000	2.000	2.000	0.000	1.000	0.000	3895.643
21.000	2.000	3.000	2.000	1.000	1.000	2.000	4744.900
22.000	2.000	4.000	0.000	1.000	1.000	0.000	4041.403
23.000	2.000	5.000	2.000	0.000	3.000	0.000	2775.383
24.000	2.000	6.000	2.000	0.000	1.000	0.000	3812.406
25.000	2.000	7.000	2.000	1.000	3.000	2.000	3167.040
26.000	2.000	8.000	0.000	1.000	3.000	0.000	4746.934
27.000	2.000	9.000	2.000	0.000	3.000	0.000	2942.691
28.000	2.000	10.000	2.000	1.000	3.000	2.000	4800.409
29.000	2.000	11.000	0.000	1.000	3.000	0.000	4463.797
30.000	2.000	12.000	2.000	1.000	3.000	2.000	3142.423
31.000	2.000	13.000	0.000	1.000	1.000	0.000	2351.357
32.000	2.000	14.000	2.000	0.000	1.000	0.000	4272.723
33.000	2.000	15.000	2.000	1.000	1.000	2.000	2121.141
34.000	2.000	16.000	0.000	1.000	3.000	0.000	2760.728
